Series ID,Assigned name,Tooltip,units,frequency
commind_business_park_planned_others,Business Park Space Pipeline (Planned: Other),Planned business park space that is still early-stage. A larger pipeline can increase future supply pressure if take-up slows.,K Sqm Gross,Q
commind_business_park_planned_provisional_permission,Business Park Space Pipeline (Planned: Provisional Permission),Planned business park space with provisional planning approval. Rising volumes can add future supply and weigh on rents if demand softens.,K Sqm Gross,Q
commind_business_park_planned_written_permission,Business Park Space Pipeline (Planned: Written Permission),Planned business park space with written planning approval. Higher levels signal more committed future supply and potential leasing competition.,K Sqm Gross,Q
commind_business_park_total,Business Park Space Pipeline (Total),Total business park pipeline across planning stages. Useful for gauging forthcoming supply and the risk of overhang.,K Sqm Gross,Q
commind_business_park_under_construction,Business Park Space Pipeline (Under Construction),Business park space currently being built. A rising under-construction stock can increase near-term completion and leasing competition.,K Sqm Gross,Q
commind_office_planned_others,Office Space Pipeline (Planned: Other),Planned office space that is still early-stage. A larger pipeline can raise future supply risk if absorption weakens.,K Sqm Gross,Q
commind_office_planned_provisional_permission,Office Space Pipeline (Planned: Provisional Permission),Planned office space with provisional planning approval. Higher levels can translate into more deliverable supply over time.,K Sqm Gross,Q
commind_office_planned_written_permission,Office Space Pipeline (Planned: Written Permission),Planned office space with written planning approval. Indicates a more advanced pipeline and potential future supply pressure.,K Sqm Gross,Q
commind_office_total,Office Space Pipeline (Total),Total office pipeline across planning stages. Signals future supply and potential impact on vacancy and rents.,K Sqm Gross,Q
commind_office_under_construction,Office Space Pipeline (Under Construction),Office space currently being built. Rising levels can increase near-term completions and raise vacancy risk if leasing demand slows.,K Sqm Gross,Q
commind_retail_planned_others,Retail Space Pipeline (Planned: Other),Planned retail space that is still early-stage. A larger pipeline can increase overhang risk if retail leasing demand weakens.,K Sqm Gross,Q
commind_retail_planned_provisional_permission,Retail Space Pipeline (Planned: Provisional Permission),Planned retail space with provisional planning approval. Higher levels can add to future supply and weigh on rents if take-up is slow.,K Sqm Gross,Q
commind_retail_planned_written_permission,Retail Space Pipeline (Planned: Written Permission),Planned retail space with written planning approval. Indicates more committed future supply and potential leasing competition.,K Sqm Gross,Q
commind_retail_total,Retail Space Pipeline (Total),Total retail pipeline across planning stages. Helps assess future supply pressure and potential vacancy/rent risk.,K Sqm Gross,Q
commind_retail_under_construction,Retail Space Pipeline (Under Construction),Retail space currently being built. More completions can pressure occupancy and rents if demand does not keep pace.,K Sqm Gross,Q
industrial_pipeline_others,Industrial Space Pipeline (Planned: Other),Planned industrial space at an early stage. Growth can signal more future supply and potential competitive pressure on rents.,K Sqm Gross,Q
industrial_pipeline_provisional_permission,Industrial Space Pipeline (Planned: Provisional Permission),Planned industrial space with provisional planning approval. Higher levels can point to a larger future delivery pipeline.,K Sqm Gross,Q
industrial_pipeline_total,Industrial Space Pipeline (Total),Total industrial pipeline across planning stages. Tracks future supply risk and potential overhang.,K Sqm Gross,Q
industrial_pipeline_under_construction,Industrial Space Pipeline (Under Construction),Industrial space currently being built. Rising levels can increase near-term completions and vacancy risk if demand slows.,K Sqm Gross,Q
industrial_pipeline_written_permission,Industrial Space Pipeline (Planned: Written Permission),Planned industrial space with written planning approval. Signals a more committed pipeline and higher likelihood of future supply.,K Sqm Gross,Q
prp_pipeline_non_landed_planned_others,Private Residential (Non-Landed) Pipeline (Planned: Other),Early-stage non-landed private residential pipeline. Larger values can increase future housing supply and competitive pressure.,Units,Q
prp_pipeline_non_landed_planned_provisional_permission,Private Residential (Non-Landed) Pipeline (Planned: Provisional Permission),Non-landed private residential pipeline with provisional planning approval. Rising levels can add to future supply and increase overhang risk.,Units,Q
prp_pipeline_non_landed_planned_written_permission,Private Residential (Non-Landed) Pipeline (Planned: Written Permission),Non-landed private residential pipeline with written planning approval. Indicates a more advanced pipeline and greater likelihood of delivery.,Units,Q
prp_pipeline_non_landed_under_construction,Private Residential (Non-Landed) Pipeline (Under Construction),Non-landed private residential units under construction. Higher levels increase near-term completions and sales absorption requirements.,Units,Q
